Id,Price
4567,153472.21254792626
5925,120266.61978366268
960,141561.48673081296
3848,124492.44861985286
746,223113.9346215471
868,346696.9719465659
672,100264.92966015232
2471,199743.0717845217
4510,117083.14255113008
8354,250885.88785170228
6393,177852.4641144116
13270,227598.03946296795
5250,305121.42500370694
16751,176773.84126983033
11404,133816.65185885207
10588,328321.20228943415
14925,177096.75158966676
6791,194436.44118111057
16097,174342.08071266938
16428,364842.9596975328
6945,347616.2812702288
3190,184762.6377826779
15709,425108.16057576804
13155,155766.72585737245
7675,185759.112854379
14686,228451.14446787056
609,146733.5638058576
11155,217211.03488621037
10869,194584.0936200675
15742,184475.18080084655
9245,197944.28402527157
3340,175447.21353364718
2359,279715.3248492166
8070,195928.9918160562
13707,117479.19457416605
16079,295783.67297958594
15937,280621.0722463176
14090,175920.86453208578
9008,210360.40463258835
16384,178653.42954856597
11657,261273.7639756772
13151,162355.8393593095
8990,167671.23767399052
11857,190622.61380860262
1565,165028.6405521337
8174,111075.62737548718
9247,227379.34830745988
10478,217531.67290834803
15509,155182.99253154694
8306,285601.89080526447
6642,180873.9322599665
7472,190916.25216397093
15989,135113.99678305892
13682,118502.39727914974
163,258304.7050201075
7076,178093.0467450164
7478,335243.34832747537
3029,188079.02464467837
1814,145869.91380565398
10057,131545.54232637913
15100,199345.6574649632
12694,224038.1431002323
6291,193653.52439678705
12603,210294.72429313054
3218,257156.40720599645
13456,128148.50236979047
10170,239340.6673643826
4530,153550.15895105747
13329,177708.52164084016
4820,147715.80768301638
10896,170150.81068193397
13416,112830.43732802184
2701,221527.40442883276
11265,286996.27620551584
9189,262852.7126076563
1858,179545.51932430067
14536,232157.54348476662
6199,263789.94974781206
14730,156230.35658900224
7510,251984.5245112166
15505,161117.3845216249
7446,178733.27508299347
14016,225217.08166565892
14113,114067.80559147945
8721,293659.7788765375
6193,312641.5930371172
5717,184225.67728333158
5427,295972.8527654072
9520,469883.45515736484
6869,106904.92490891293
1658,147673.76027612272
6639,169326.2040422358
6283,175612.88075932767
6257,124086.98995041581
15235,185573.0239724943
902,231693.8285027844
8932,197371.27212679724
16469,404278.6917261143
2825,244536.78376864173
6450,413384.2070628498
11366,182807.8897757236
3801,398455.50830502005
11385,191485.78945998338
1079,182845.95665022303
3202,226152.38501595848
676,193637.74016968615
6185,285014.8231406803
7730,169862.17158912998
2573,182602.59331638276
10978,216399.53569378465
10962,253988.68137791948
8870,195392.98989001184
8496,164835.23307330557
5517,174255.90282562305
927,173242.37014068294
13675,190801.00520590405
1499,246048.30280580354
15536,339328.8667632068
8602,369416.1178532677
12137,429791.17165749223
9865,256355.15825406072
16353,286103.48194507114
15908,216339.4014152604
3944,189818.99280690498
10359,204108.6719532852
15158,215675.74564562988
3259,226671.97165178854
7220,316548.15353664814
13843,209128.98742096714
16736,182357.7900193334
702,243017.605530236
16401,95156.54632055295
12134,190372.0890218859
6918,220061.74885650224
11792,129521.16452597753
3798,126950.98863823779
10395,130558.44913649152
11099,142964.7588564446
7090,211667.92006810807
11260,199663.9646043839
9647,211617.8157618256
2903,374949.1119733381
2071,187354.2206513063
8604,188980.6965300535
9346,210109.69261083272
3945,195859.306519166
3420,129305.72653793644
